,ref,lea name,site url,policy url,me policy url,mei url (if separate)
140,SB978-130,Cal State LA Police Department,https://web.archive.org/web/20140805070712/http://www.calstatela.edu/police,https://web.archive.org/web/20200205113928/http://www.calstatela.edu/police/policies-and-training,--No link for this in original dataset--,--No link for this in original dataset--
141,SB978-132,CSU Monterey Bay University Police Department,https://web.archive.org/web/20150401212354/https://csumb.edu/police,https://web.archive.org/web/20220107222708/https://csumb.edu/media/csumb/section-editors/university-police/CSU_Monterey_Bay_PD_CA_Policy_Manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
142,SB978-133,CSU Northridge Department of Police Services,https://web.archive.org/web/19970715064011/http://www.csun.edu/police/,https://web.archive.org/web/20210415032213/https://www.csun.edu/police/policy-manual-0,--No link for this in original dataset--,--No link for this in original dataset--
143,SB978-134,CSU Sacramento Public Safety/University Police Department,https://web.archive.org/web/20200928062025/https://www.csus.edu/campus-safety/police-department/,https://web.archive.org/web/20230719155039/https://www.csus.edu/campus-safety/police-department/_internal/_documents/public__csu_sacramento_pd_policy_manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
144,SB978-135,CSU San Bernardino University Police Department,https://web.archive.org/web/20170519050912/https://www.csusb.edu/police,https://web.archive.org/web/20200812095139/https://www.csusb.edu/police/public-information/csusb-university-police-policies,--No link for this in original dataset--,--No link for this in original dataset--
145,SB978-136,San Diego State University Police Department,https://web.archive.org/web/20000511122916/http://police.sdsu.edu/,https://web.archive.org/web/20210415041720/https://police.sdsu.edu/about/sdsupd_manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
146,SB978-138,CSU San Jos̩ University Police Department,https://web.archive.org/web/19990225080821/http://www.sjsu.edu/police/,https://web.archive.org/web/20210923171439/https://www.sjsu.edu/police/docs/forms/UPD%20Policy%20Manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
147,SB978-139,CSU San Marcos University Police Department,https://web.archive.org/web/19970205114239/http://www.csusm.edu/,https://web.archive.org/web/20210117185451/https://www.csusm.edu/police/policepolicymanual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
148,SB978-140,Sonoma State University Police and Parking Services,https://web.archive.org/web/20010427044927/http://web.sonoma.edu/,https://web.archive.org/web/20220415201734/https://police.sonoma.edu/sites/police/files/images/release_20211005_t155608_sonoma_state_university_police_policy_manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
149,SB978-141,CSU Stanislaus Police Department,https://web.archive.org/web/19981212024123/http://www.csustan.edu/,https://web.archive.org/web/20210115215555/https://www.csustan.edu/sites/default/files/groups/University%20Police%20Department/documents/20200617_stanislaus_state_pd_policy_manual.pdf,--No link for this in original dataset--,--No link for this in original dataset--
150,SB978-142,Cuesta College Department of Public Safety,https://web.archive.org/web/20020220122658/http://www.cuesta.edu/,https://web.archive.org/web/20210415235618/https://www.cuesta.edu/about/documents/publicsafety/PolicyManualFull_09_2020.pdf,--No link for this in original dataset--,--No link for this in original dataset--
151,SB978-143,Culver City Police Department,https://web.archive.org/web/20121206022713/http://www.culvercitypd.org/,https://web.archive.org/web/20220625132819/https://www.culvercitypd.org/files/assets/police/documents/policies/release_20220615_culver_city_pd_policy_manual.pdf,https://web.archive.org/web/20220625132819/https://www.culvercitypd.org/files/assets/police/documents/policies/release_20220615_culver_city_pd_policy_manual.pdf,--No link for this in original dataset--
152,SB978-144,Cypress Police Department,https://web.archive.org/web/20161020013139/http://www.cypressca.org/,https://web.archive.org/web/20230719155108/https://www.cypressca.org/home/showpublisheddocument/9444/637540739710700000,https://web.archive.org/web/20220625132819/https://www.culvercitypd.org/files/assets/police/documents/policies/release_20220615_culver_city_pd_policy_manual.pdf,--No link for this in original dataset--
