,ref,lea name,url
305,SB978-350,Napa Valley College Police Department,https://web.archive.org/web/20020718115104/http://www.napavalley.edu/
306,SB978-351,National City Police Department,https://web.archive.org/web/20080922135520/http://www.nationalcityca.gov/
307,SB978-354,Nevada County Sheriff's Department,https://web.archive.org/web/20010929203155/http://mynevadacounty.com/
308,SB978-355,Newark Police Department,https://web.archive.org/web/19990125101600/http://www.newark.org/
309,SB978-356,Newman Police Department,https://web.archive.org/web/19981206220516/http://www.cityofnewman.com/
310,SB978-357,Newport Beach Police Department,https://web.archive.org/web/19991013102816/http://nbpd.org/
311,SB978-358,Novato Police Department,https://web.archive.org/web/19981206104718/http://www.novato.org/
312,SB978-359,Oakdale Police Department,https://web.archive.org/web/20140404022403/http://www.oakdalegov.com/
313,SB978-361,Oakland Police Department,https://web.archive.org/web/20180427023914/http://www.oaklandca.gov/
314,SB978-363,Oakley Police Department,https://web.archive.org/web/19991012023626/http://ci.oakley.ca.us/
315,SB978-365,Oceanside Police Department,https://web.archive.org/web/19980419193910/http://ci.oceanside.ca.us/
316,SB978-367,Ohlone Community College District Police Department,https://web.archive.org/web/20020816105839/http://www.ohlone.edu/
317,SB978-368,Ontario Police Department,
318,SB978-370,Orange County District Attorney,https://web.archive.org/web/20130802151836/http://orangecountyda.org
319,SB978-373,Orange County Sheriff's Department/Coroner,https://web.archive.org/web/20201101032449/https://www.ocsheriff.gov/
320,SB978-374,Orange Cove Police Department,https://web.archive.org/web/20031023010535/http://cityoforangecove.com/
321,SB978-375,Orange Police Department,https://web.archive.org/web/20010630232910/http://citydocs.cityoforange.org/
322,SB978-376,Orland Police Department,https://web.archive.org/web/20091005002153/http://www.cityoforland.com/
323,SB978-377,Oroville Police Department,https://web.archive.org/web/20020806132319/http://www.cityoforoville.org/
324,SB978-378,Oxnard Police Department,https://web.archive.org/web/20071225151834/http://sites.google.com/
325,SB978-379,Pacific Grove Police Department,https://web.archive.org/web/20140517042733/http://cityofpacificgrove.org/
326,SB978-381,Pacifica Police Department,https://web.archive.org/web/20070301053635/http://www.cityofpacifica.org/
327,SB978-382,Palm Springs Police Department,https://web.archive.org/web/20081111141308/http://www.palmspringsca.gov/
328,SB978-383,Palo Alto Police Department,https://web.archive.org/web/20021002045829/http://www.cityofpaloalto.org/
329,SB978-385,Palos Verdes Estates Police Department,https://web.archive.org/web/20100815211728/http://www.pvestates.org/
330,SB978-386,Paradise Police Department,https://web.archive.org/web/20000110195412/http://www.townofparadise.com/
331,SB978-388,Pasadena City College District Police Department,https://web.archive.org/web/20020602124107/http://www.pasadena.edu/
332,SB978-389,Pasadena Police Department,https://web.archive.org/web/20010518103603/http://www.cityofpasadena.net/
333,SB978-390,Paso Robles Police Department,https://web.archive.org/web/20020928073158/http://www.prcity.com/
334,SB978-392,Petaluma Police Department,https://web.archive.org/web/20110627052025/http://www.cityofpetaluma.org/
335,SB978-393,Piedmont Police Department,https://web.archive.org/web/20010609133145/http://www.ci.piedmont.ca.us/
336,SB978-394,Pinole Police Department,https://web.archive.org/web/20191121042915/http://pinoleca.hosted.civiclive.com/
337,SB978-395,Pismo Beach Police Department,
338,SB978-396,Pittsburg Police Department,https://web.archive.org/web/19981202204133/http://www.ci.pittsburg.ca.us/
339,SB978-397,Placentia Police Department,https://web.archive.org/web/19971221100030/http://placentia.org/
340,SB978-398,Placer County District Attorney,https://web.archive.org/web/19961220000612/http://www.placer.ca.gov/
341,SB978-400,Placer County Sheriff's Department,https://web.archive.org/web/19961220000612/http://www.placer.ca.gov/
342,SB978-401,Placerville Police Department,https://web.archive.org/web/20060225170315/http://www.cityofplacerville.org/
343,SB978-402,Pleasant Hill Police Department,https://web.archive.org/web/19981111190221/http://www.ci.pleasant-hill.ca.us/
